Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,driverlog,1000,0.1,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.1,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.1,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.1,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.1,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.1,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.1,0.6,1.0,0.89,0.92,0.81
sam_with,driverlog,1000,0.1,0.8,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.1,0.8,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.1,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,1000,0.1,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,1000,0.1,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.2,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.2,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.2,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.2,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.2,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.2,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.2,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.2,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.2,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.2,0.8,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.2,0.8,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.2,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,1000,0.2,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,1000,0.2,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.3,0.2,1.0,1.0,0.89,0.86
sam_without,driverlog,1000,0.3,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.3,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.3,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.3,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.3,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.3,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.3,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.3,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.3,0.8,0.69,0.72,1.0,0.72
sam_without,driverlog,1000,0.3,0.8,0.28,0.54,1.0,1.0
rosame,driverlog,1000,0.3,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,1000,0.3,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,1000,0.3,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.4,0.2,1.0,0.94,0.83,0.86
sam_without,driverlog,1000,0.4,0.2,1.0,0.94,0.94,0.86
rosame,driverlog,1000,0.4,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.4,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.4,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.4,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.4,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.4,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.4,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.4,0.8,0.46,0.57,0.94,0.94
sam_without,driverlog,1000,0.4,0.8,0.26,0.48,1.0,1.0
rosame,driverlog,1000,0.4,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,1000,0.4,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,1000,0.4,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.5,0.2,1.0,0.89,0.83,0.86
sam_without,driverlog,1000,0.5,0.2,1.0,0.89,0.94,0.86
rosame,driverlog,1000,0.5,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.5,0.4,1.0,1.0,0.94,0.86
sam_without,driverlog,1000,0.5,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,1000,0.5,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.5,0.6,0.76,0.78,1.0,0.64
sam_without,driverlog,1000,0.5,0.6,0.35,0.68,1.0,1.0
rosame,driverlog,1000,0.5,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.5,0.8,0.46,0.62,0.94,1.0
sam_without,driverlog,1000,0.5,0.8,0.25,0.48,1.0,1.0
rosame,driverlog,1000,0.5,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,1000,0.5,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,1000,0.5,1.0,0.96,0.89,1.0,0.81
sam_with,rover,10,0.1,0.2,1.0,0.24,0.5,0.69
sam_without,rover,10,0.1,0.2,1.0,0.24,0.5,0.69
rosame,rover,10,0.1,0.2,0.57,0.31,0.59,0.58
sam_with,rover,10,0.1,0.4,1.0,0.24,0.5,0.69
sam_without,rover,10,0.1,0.4,1.0,0.24,0.5,0.69
rosame,rover,10,0.1,0.4,0.59,0.28,0.64,0.41
sam_with,rover,10,0.1,0.6,1.0,0.24,0.5,0.69
sam_without,rover,10,0.1,0.6,1.0,0.24,0.5,0.69
rosame,rover,10,0.1,0.6,0.59,0.29,0.62,0.53
sam_with,rover,10,0.1,0.8,1.0,0.24,0.5,0.69
sam_without,rover,10,0.1,0.8,1.0,0.24,0.5,0.69
rosame,rover,10,0.1,0.8,0.53,0.31,0.6,0.41
sam_with,rover,10,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,rover,10,0.1,1.0,1.0,0.0,0.0,1.0
rosame,rover,10,0.1,1.0,0.56,0.27,0.54,0.4
sam_with,rover,10,0.2,0.2,1.0,0.24,0.5,0.69
sam_without,rover,10,0.2,0.2,1.0,0.24,0.5,0.69
rosame,rover,10,0.2,0.2,0.59,0.26,0.62,0.34
sam_with,rover,10,0.2,0.4,1.0,0.24,0.5,0.69
sam_without,rover,10,0.2,0.4,1.0,0.24,0.5,0.69
rosame,rover,10,0.2,0.4,0.56,0.28,0.57,0.43
sam_with,rover,10,0.2,0.6,1.0,0.24,0.5,0.69
sam_without,rover,10,0.2,0.6,1.0,0.24,0.5,0.69
rosame,rover,10,0.2,0.6,0.6,0.28,0.67,0.51
sam_with,rover,10,0.2,0.8,1.0,0.24,0.5,0.69
sam_without,rover,10,0.2,0.8,1.0,0.24,0.5,0.69
rosame,rover,10,0.2,0.8,0.56,0.27,0.57,0.41
sam_with,rover,10,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,rover,10,0.2,1.0,1.0,0.0,0.0,1.0
rosame,rover,10,0.2,1.0,0.57,0.3,0.54,0.54
sam_with,rover,10,0.3,0.2,1.0,0.2,0.5,0.73
sam_without,rover,10,0.3,0.2,1.0,0.2,0.5,0.73
rosame,rover,10,0.3,0.2,0.58,0.31,0.6,0.54
sam_with,rover,10,0.3,0.4,1.0,0.24,0.5,0.69
sam_without,rover,10,0.3,0.4,1.0,0.24,0.5,0.69
rosame,rover,10,0.3,0.4,0.58,0.28,0.6,0.53
sam_with,rover,10,0.3,0.6,1.0,0.24,0.5,0.69
sam_without,rover,10,0.3,0.6,1.0,0.24,0.5,0.69
rosame,rover,10,0.3,0.6,0.57,0.3,0.61,0.4
sam_with,rover,10,0.3,0.8,0.64,0.18,0.5,0.76
sam_without,rover,10,0.3,0.8,0.57,0.18,0.5,0.76
rosame,rover,10,0.3,0.8,0.57,0.25,0.57,0.36
sam_with,rover,10,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,rover,10,0.3,1.0,1.0,0.0,0.0,1.0
rosame,rover,10,0.3,1.0,0.57,0.28,0.57,0.49
sam_with,rover,10,0.4,0.2,1.0,0.17,0.33,0.78
sam_without,rover,10,0.4,0.2,1.0,0.17,0.39,0.78
rosame,rover,10,0.4,0.2,0.59,0.25,0.64,0.3
sam_with,rover,10,0.4,0.4,1.0,0.24,0.5,0.69
sam_without,rover,10,0.4,0.4,1.0,0.24,0.5,0.69
rosame,rover,10,0.4,0.4,0.57,0.25,0.63,0.34
sam_with,rover,10,0.4,0.6,1.0,0.24,0.5,0.69
sam_without,rover,10,0.4,0.6,1.0,0.24,0.5,0.69
rosame,rover,10,0.4,0.6,0.56,0.29,0.5,0.56
sam_with,rover,10,0.4,0.8,0.56,0.17,0.42,0.81
sam_without,rover,10,0.4,0.8,0.53,0.17,0.5,0.81
rosame,rover,10,0.4,0.8,0.57,0.29,0.56,0.51
sam_with,rover,10,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,rover,10,0.4,1.0,1.0,0.0,0.0,1.0
rosame,rover,10,0.4,1.0,0.59,0.27,0.67,0.4
sam_with,rover,10,0.5,0.2,1.0,0.16,0.31,0.83
sam_without,rover,10,0.5,0.2,1.0,0.16,0.31,0.83
rosame,rover,10,0.5,0.2,0.54,0.24,0.57,0.37
sam_with,rover,10,0.5,0.4,1.0,0.22,0.5,0.73
sam_without,rover,10,0.5,0.4,1.0,0.22,0.5,0.73
rosame,rover,10,0.5,0.4,0.57,0.18,0.63,0.19
sam_with,rover,10,0.5,0.6,0.67,0.21,0.5,0.76
sam_without,rover,10,0.5,0.6,0.59,0.21,0.5,0.76
rosame,rover,10,0.5,0.6,0.59,0.22,0.68,0.31
sam_with,rover,10,0.5,0.8,0.52,0.16,0.39,0.83
sam_without,rover,10,0.5,0.8,0.51,0.16,0.5,0.83
rosame,rover,10,0.5,0.8,0.53,0.19,0.56,0.3
sam_with,rover,10,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,rover,10,0.5,1.0,1.0,0.0,0.0,1.0
rosame,rover,10,0.5,1.0,0.54,0.28,0.67,0.42
sam_with,rover,100,0.1,0.2,1.0,0.48,0.63,0.6
sam_without,rover,100,0.1,0.2,1.0,0.48,0.63,0.6
rosame,rover,100,0.1,0.2,0.78,0.47,0.63,0.43
sam_with,rover,100,0.1,0.4,1.0,0.48,0.63,0.6
sam_without,rover,100,0.1,0.4,1.0,0.48,0.63,0.6
rosame,rover,100,0.1,0.4,0.78,0.44,0.63,0.41
sam_with,rover,100,0.1,0.6,1.0,0.48,0.63,0.6
sam_without,rover,100,0.1,0.6,1.0,0.48,0.63,0.6
rosame,rover,100,0.1,0.6,0.78,0.48,0.63,0.52
sam_with,rover,100,0.1,0.8,1.0,0.48,0.63,0.6
sam_without,rover,100,0.1,0.8,1.0,0.48,0.63,0.6
rosame,rover,100,0.1,0.8,0.78,0.44,0.63,0.43
sam_with,rover,100,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,rover,100,0.1,1.0,1.0,0.0,0.0,1.0
rosame,rover,100,0.1,1.0,0.78,0.44,0.63,0.43
sam_with,rover,100,0.2,0.2,1.0,0.48,0.63,0.6
sam_without,rover,100,0.2,0.2,1.0,0.48,0.63,0.6
rosame,rover,100,0.2,0.2,0.78,0.45,0.63,0.43
sam_with,rover,100,0.2,0.4,1.0,0.48,0.63,0.6
sam_without,rover,100,0.2,0.4,1.0,0.48,0.63,0.6
rosame,rover,100,0.2,0.4,0.78,0.45,0.63,0.43
sam_with,rover,100,0.2,0.6,1.0,0.48,0.63,0.6
sam_without,rover,100,0.2,0.6,1.0,0.48,0.63,0.6
rosame,rover,100,0.2,0.6,0.78,0.45,0.66,0.47
sam_with,rover,100,0.2,0.8,1.0,0.48,0.63,0.6
sam_without,rover,100,0.2,0.8,1.0,0.48,0.63,0.6
rosame,rover,100,0.2,0.8,0.78,0.44,0.68,0.53
sam_with,rover,100,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,rover,100,0.2,1.0,1.0,0.0,0.0,1.0
rosame,rover,100,0.2,1.0,0.78,0.44,0.68,0.53
sam_with,rover,100,0.3,0.2,1.0,0.47,0.58,0.66
sam_without,rover,100,0.3,0.2,1.0,0.47,0.63,0.66
rosame,rover,100,0.3,0.2,0.79,0.43,0.7,0.43
sam_with,rover,100,0.3,0.4,1.0,0.48,0.63,0.6
sam_without,rover,100,0.3,0.4,1.0,0.48,0.63,0.6
rosame,rover,100,0.3,0.4,0.79,0.43,0.7,0.43
sam_with,rover,100,0.3,0.6,1.0,0.48,0.63,0.6
sam_without,rover,100,0.3,0.6,1.0,0.48,0.63,0.6
rosame,rover,100,0.3,0.6,0.79,0.45,0.66,0.47
sam_with,rover,100,0.3,0.8,0.46,0.23,0.63,0.67
sam_without,rover,100,0.3,0.8,0.35,0.25,0.63,0.76
rosame,rover,100,0.3,0.8,0.8,0.43,0.66,0.43
sam_with,rover,100,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,rover,100,0.3,1.0,1.0,0.0,0.0,1.0
rosame,rover,100,0.3,1.0,0.78,0.44,0.63,0.43
sam_with,rover,100,0.4,0.2,1.0,0.29,0.39,0.7
sam_without,rover,100,0.4,0.2,1.0,0.29,0.47,0.7
rosame,rover,100,0.4,0.2,0.78,0.44,0.63,0.43
sam_with,rover,100,0.4,0.4,1.0,0.48,0.63,0.6
sam_without,rover,100,0.4,0.4,1.0,0.48,0.63,0.6
rosame,rover,100,0.4,0.4,0.78,0.44,0.68,0.54
sam_with,rover,100,0.4,0.6,1.0,0.48,0.63,0.6
sam_without,rover,100,0.4,0.6,1.0,0.48,0.63,0.6
rosame,rover,100,0.4,0.6,0.79,0.44,0.7,0.41
sam_with,rover,100,0.4,0.8,0.52,0.21,0.56,0.75
sam_without,rover,100,0.4,0.8,0.44,0.2,0.61,0.8
rosame,rover,100,0.4,0.8,0.75,0.46,0.7,0.41
sam_with,rover,100,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,rover,100,0.4,1.0,1.0,0.0,0.0,1.0
rosame,rover,100,0.4,1.0,0.79,0.44,0.7,0.43
sam_with,rover,100,0.5,0.2,1.0,0.22,0.36,0.72
sam_without,rover,100,0.5,0.2,1.0,0.22,0.47,0.72
rosame,rover,100,0.5,0.2,0.78,0.45,0.63,0.54
sam_with,rover,100,0.5,0.4,1.0,0.44,0.63,0.6
sam_without,rover,100,0.5,0.4,1.0,0.44,0.63,0.6
rosame,rover,100,0.5,0.4,0.79,0.43,0.7,0.43
sam_with,rover,100,0.5,0.6,0.48,0.24,0.63,0.65
sam_without,rover,100,0.5,0.6,0.37,0.25,0.63,0.71
rosame,rover,100,0.5,0.6,0.75,0.49,0.7,0.43
sam_with,rover,100,0.5,0.8,0.48,0.19,0.56,0.82
sam_without,rover,100,0.5,0.8,0.42,0.18,0.61,0.82
rosame,rover,100,0.5,0.8,0.78,0.46,0.66,0.49
sam_with,rover,100,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,rover,100,0.5,1.0,1.0,0.0,0.0,1.0
rosame,rover,100,0.5,1.0,0.79,0.45,0.68,0.49
sam_with,rover,200,0.1,0.2,1.0,0.56,0.66,0.56
sam_without,rover,200,0.1,0.2,1.0,0.56,0.66,0.56
rosame,rover,200,0.1,0.2,0.89,0.51,0.66,0.51
sam_with,rover,200,0.1,0.4,1.0,0.56,0.66,0.56
sam_without,rover,200,0.1,0.4,1.0,0.56,0.66,0.56
rosame,rover,200,0.1,0.4,0.8,0.5,0.66,0.45
sam_with,rover,200,0.1,0.6,1.0,0.56,0.66,0.56
sam_without,rover,200,0.1,0.6,1.0,0.56,0.66,0.56
rosame,rover,200,0.1,0.6,0.89,0.46,0.66,0.49
sam_with,rover,200,0.1,0.8,1.0,0.56,0.66,0.56
sam_without,rover,200,0.1,0.8,1.0,0.56,0.66,0.56
rosame,rover,200,0.1,0.8,0.78,0.5,0.63,0.47
sam_with,rover,200,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,rover,200,0.1,1.0,1.0,0.0,0.0,1.0
rosame,rover,200,0.1,1.0,0.89,0.5,0.66,0.51
sam_with,rover,200,0.2,0.2,1.0,0.56,0.66,0.56
sam_without,rover,200,0.2,0.2,1.0,0.56,0.66,0.56
rosame,rover,200,0.2,0.2,0.89,0.5,0.66,0.51
sam_with,rover,200,0.2,0.4,1.0,0.56,0.66,0.56
sam_without,rover,200,0.2,0.4,1.0,0.56,0.66,0.56
rosame,rover,200,0.2,0.4,0.89,0.5,0.66,0.51
sam_with,rover,200,0.2,0.6,1.0,0.56,0.66,0.56
sam_without,rover,200,0.2,0.6,1.0,0.56,0.66,0.56
rosame,rover,200,0.2,0.6,0.89,0.5,0.66,0.51
sam_with,rover,200,0.2,0.8,1.0,0.56,0.66,0.56
sam_without,rover,200,0.2,0.8,1.0,0.56,0.66,0.56
rosame,rover,200,0.2,0.8,0.89,0.53,0.66,0.51
sam_with,rover,200,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,rover,200,0.2,1.0,1.0,0.0,0.0,1.0
rosame,rover,200,0.2,1.0,0.89,0.51,0.66,0.41
sam_with,rover,200,0.3,0.2,1.0,0.47,0.63,0.66
sam_without,rover,200,0.3,0.2,1.0,0.47,0.63,0.66
rosame,rover,200,0.3,0.2,0.89,0.49,0.66,0.51
sam_with,rover,200,0.3,0.4,1.0,0.56,0.66,0.56
sam_without,rover,200,0.3,0.4,1.0,0.56,0.66,0.56
rosame,rover,200,0.3,0.4,0.89,0.5,0.66,0.51
sam_with,rover,200,0.3,0.6,1.0,0.56,0.66,0.56
sam_without,rover,200,0.3,0.6,1.0,0.56,0.66,0.56
rosame,rover,200,0.3,0.6,0.85,0.55,0.66,0.51
sam_with,rover,200,0.3,0.8,0.46,0.24,0.63,0.69
sam_without,rover,200,0.3,0.8,0.34,0.24,0.63,0.76
rosame,rover,200,0.3,0.8,0.89,0.5,0.66,0.51
sam_with,rover,200,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,rover,200,0.3,1.0,1.0,0.0,0.0,1.0
rosame,rover,200,0.3,1.0,0.89,0.48,0.66,0.51
sam_with,rover,200,0.4,0.2,1.0,0.3,0.39,0.7
sam_without,rover,200,0.4,0.2,1.0,0.3,0.47,0.7
rosame,rover,200,0.4,0.2,0.89,0.5,0.66,0.49
sam_with,rover,200,0.4,0.4,1.0,0.56,0.66,0.56
sam_without,rover,200,0.4,0.4,1.0,0.56,0.66,0.56
rosame,rover,200,0.4,0.4,0.78,0.5,0.63,0.51
sam_with,rover,200,0.4,0.6,1.0,0.56,0.66,0.56
sam_without,rover,200,0.4,0.6,1.0,0.56,0.66,0.56
rosame,rover,200,0.4,0.6,0.89,0.5,0.66,0.51
sam_with,rover,200,0.4,0.8,0.52,0.22,0.56,0.77
sam_without,rover,200,0.4,0.8,0.44,0.2,0.61,0.8
rosame,rover,200,0.4,0.8,0.78,0.5,0.63,0.51
sam_with,rover,200,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,rover,200,0.4,1.0,1.0,0.0,0.0,1.0
rosame,rover,200,0.4,1.0,0.89,0.5,0.66,0.51
sam_with,rover,200,0.5,0.2,1.0,0.21,0.36,0.7
sam_without,rover,200,0.5,0.2,1.0,0.21,0.47,0.7
rosame,rover,200,0.5,0.2,0.89,0.49,0.66,0.49
sam_with,rover,200,0.5,0.4,1.0,0.47,0.63,0.6
sam_without,rover,200,0.5,0.4,1.0,0.47,0.63,0.6
rosame,rover,200,0.5,0.4,0.89,0.48,0.66,0.49
sam_with,rover,200,0.5,0.6,0.47,0.24,0.63,0.65
sam_without,rover,200,0.5,0.6,0.37,0.24,0.63,0.71
rosame,rover,200,0.5,0.6,0.83,0.48,0.66,0.45
sam_with,rover,200,0.5,0.8,0.48,0.19,0.56,0.82
sam_without,rover,200,0.5,0.8,0.42,0.18,0.61,0.82
rosame,rover,200,0.5,0.8,0.64,0.5,0.61,0.49
sam_with,rover,200,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,rover,200,0.5,1.0,1.0,0.0,0.0,1.0
rosame,rover,200,0.5,1.0,0.89,0.51,0.66,0.49
sam_with,rover,300,0.1,0.2,1.0,0.44,0.61,0.64
sam_without,rover,300,0.1,0.2,1.0,0.44,0.61,0.64
rosame,rover,300,0.1,0.2,0.67,0.4,0.66,0.56
sam_with,rover,300,0.1,0.4,1.0,0.44,0.61,0.64
sam_without,rover,300,0.1,0.4,1.0,0.44,0.61,0.64
rosame,rover,300,0.1,0.4,0.68,0.38,0.72,0.47
sam_with,rover,300,0.1,0.6,1.0,0.44,0.61,0.64
sam_without,rover,300,0.1,0.6,1.0,0.44,0.61,0.64
rosame,rover,300,0.1,0.6,0.67,0.39,0.66,0.58
sam_with,rover,300,0.1,0.8,1.0,0.44,0.61,0.64
sam_without,rover,300,0.1,0.8,1.0,0.44,0.61,0.64
rosame,rover,300,0.1,0.8,0.64,0.43,0.68,0.5
sam_with,rover,300,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,rover,300,0.1,1.0,1.0,0.0,0.0,1.0
rosame,rover,300,0.1,1.0,0.67,0.38,0.61,0.49
sam_with,rover,300,0.2,0.2,1.0,0.44,0.61,0.64
sam_without,rover,300,0.2,0.2,1.0,0.44,0.61,0.64
rosame,rover,300,0.2,0.2,0.67,0.39,0.66,0.58
sam_with,rover,300,0.2,0.4,1.0,0.44,0.61,0.64
sam_without,rover,300,0.2,0.4,1.0,0.44,0.61,0.64
rosame,rover,300,0.2,0.4,0.64,0.44,0.7,0.56
sam_with,rover,300,0.2,0.6,1.0,0.44,0.61,0.64
sam_without,rover,300,0.2,0.6,1.0,0.44,0.61,0.64
rosame,rover,300,0.2,0.6,0.67,0.4,0.66,0.58
sam_with,rover,300,0.2,0.8,1.0,0.44,0.61,0.64
sam_without,rover,300,0.2,0.8,1.0,0.44,0.61,0.64
rosame,rover,300,0.2,0.8,0.67,0.43,0.61,0.38
sam_with,rover,300,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,rover,300,0.2,1.0,1.0,0.0,0.0,1.0
rosame,rover,300,0.2,1.0,0.67,0.36,0.68,0.36
sam_with,rover,300,0.3,0.2,1.0,0.46,0.61,0.68
sam_without,rover,300,0.3,0.2,1.0,0.46,0.61,0.68
rosame,rover,300,0.3,0.2,0.67,0.39,0.66,0.58
sam_with,rover,300,0.3,0.4,1.0,0.44,0.61,0.64
sam_without,rover,300,0.3,0.4,1.0,0.44,0.61,0.64
rosame,rover,300,0.3,0.4,0.68,0.38,0.68,0.41
sam_with,rover,300,0.3,0.6,1.0,0.44,0.61,0.64
sam_without,rover,300,0.3,0.6,1.0,0.44,0.61,0.64
rosame,rover,300,0.3,0.6,0.67,0.37,0.61,0.38
sam_with,rover,300,0.3,0.8,0.57,0.2,0.61,0.69
sam_without,rover,300,0.3,0.8,0.45,0.22,0.61,0.77
rosame,rover,300,0.3,0.8,0.68,0.39,0.7,0.58
sam_with,rover,300,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,rover,300,0.3,1.0,1.0,0.0,0.0,1.0
rosame,rover,300,0.3,1.0,0.64,0.4,0.61,0.47
sam_with,rover,300,0.4,0.2,1.0,0.29,0.39,0.7
sam_without,rover,300,0.4,0.2,1.0,0.29,0.47,0.7
rosame,rover,300,0.4,0.2,0.68,0.37,0.74,0.36
sam_with,rover,300,0.4,0.4,1.0,0.44,0.61,0.64
sam_without,rover,300,0.4,0.4,1.0,0.44,0.61,0.64
rosame,rover,300,0.4,0.4,0.65,0.4,0.66,0.58
sam_with,rover,300,0.4,0.6,1.0,0.44,0.61,0.64
sam_without,rover,300,0.4,0.6,1.0,0.44,0.61,0.64
rosame,rover,300,0.4,0.6,0.68,0.39,0.7,0.58
sam_with,rover,300,0.4,0.8,0.52,0.21,0.56,0.77
sam_without,rover,300,0.4,0.8,0.44,0.2,0.61,0.8
rosame,rover,300,0.4,0.8,0.68,0.37,0.72,0.45
sam_with,rover,300,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,rover,300,0.4,1.0,1.0,0.0,0.0,1.0
rosame,rover,300,0.4,1.0,0.67,0.36,0.62,0.36
sam_with,rover,300,0.5,0.2,1.0,0.22,0.36,0.7
sam_without,rover,300,0.5,0.2,1.0,0.22,0.47,0.7
rosame,rover,300,0.5,0.2,0.65,0.41,0.66,0.58
sam_with,rover,300,0.5,0.4,1.0,0.43,0.61,0.64
sam_without,rover,300,0.5,0.4,1.0,0.43,0.61,0.64
rosame,rover,300,0.5,0.4,0.68,0.36,0.74,0.36
sam_with,rover,300,0.5,0.6,0.57,0.21,0.61,0.68
sam_without,rover,300,0.5,0.6,0.47,0.21,0.61,0.75
rosame,rover,300,0.5,0.6,0.68,0.35,0.68,0.36
sam_with,rover,300,0.5,0.8,0.48,0.19,0.56,0.82
sam_without,rover,300,0.5,0.8,0.42,0.18,0.61,0.82
rosame,rover,300,0.5,0.8,0.65,0.39,0.66,0.56
sam_with,rover,300,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,rover,300,0.5,1.0,1.0,0.0,0.0,1.0
rosame,rover,300,0.5,1.0,0.67,0.4,0.66,0.58
sam_with,rover,400,0.1,0.2,1.0,0.52,0.63,0.6
sam_without,rover,400,0.1,0.2,1.0,0.52,0.63,0.6
rosame,rover,400,0.1,0.2,0.76,0.45,0.63,0.43
sam_with,rover,400,0.1,0.4,1.0,0.52,0.63,0.6
sam_without,rover,400,0.1,0.4,1.0,0.52,0.63,0.6
rosame,rover,400,0.1,0.4,0.78,0.43,0.63,0.43
sam_with,rover,400,0.1,0.6,1.0,0.52,0.63,0.6
sam_without,rover,400,0.1,0.6,1.0,0.52,0.63,0.6
rosame,rover,400,0.1,0.6,0.78,0.45,0.63,0.54
sam_with,rover,400,0.1,0.8,1.0,0.52,0.63,0.6
sam_without,rover,400,0.1,0.8,1.0,0.52,0.63,0.6
rosame,rover,400,0.1,0.8,0.78,0.45,0.68,0.54
sam_with,rover,400,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,rover,400,0.1,1.0,1.0,0.0,0.0,1.0
rosame,rover,400,0.1,1.0,0.78,0.45,0.63,0.54
sam_with,rover,400,0.2,0.2,1.0,0.52,0.63,0.6
sam_without,rover,400,0.2,0.2,1.0,0.52,0.63,0.6
rosame,rover,400,0.2,0.2,0.78,0.49,0.68,0.52
sam_with,rover,400,0.2,0.4,1.0,0.52,0.63,0.6
sam_without,rover,400,0.2,0.4,1.0,0.52,0.63,0.6
rosame,rover,400,0.2,0.4,0.78,0.49,0.68,0.52
sam_with,rover,400,0.2,0.6,1.0,0.52,0.63,0.6
sam_without,rover,400,0.2,0.6,1.0,0.52,0.63,0.6
rosame,rover,400,0.2,0.6,0.78,0.45,0.68,0.54
sam_with,rover,400,0.2,0.8,1.0,0.52,0.63,0.6
sam_without,rover,400,0.2,0.8,1.0,0.52,0.63,0.6
rosame,rover,400,0.2,0.8,0.78,0.47,0.63,0.47
sam_with,rover,400,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,rover,400,0.2,1.0,1.0,0.0,0.0,1.0
rosame,rover,400,0.2,1.0,0.71,0.39,0.7,0.47
sam_with,rover,400,0.3,0.2,1.0,0.5,0.58,0.66
sam_without,rover,400,0.3,0.2,1.0,0.5,0.63,0.66
rosame,rover,400,0.3,0.2,0.78,0.45,0.68,0.54
sam_with,rover,400,0.3,0.4,1.0,0.52,0.63,0.6
