Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,depot,200,0.1,0.2,4,1.0,0.65,0.4,0.88
sam_without,depot,200,0.1,0.2,4,1.0,0.62,0.63,0.88
rosame,depot,200,0.1,0.2,4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.1,0.4,0,1.0,0.62,0.3,0.88
sam_without,depot,200,0.1,0.4,0,1.0,0.62,0.53,0.88
rosame,depot,200,0.1,0.4,0,0.8,0.77,0.67,0.68
sam_with,depot,200,0.1,0.4,1,1.0,0.62,0.3,0.88
sam_without,depot,200,0.1,0.4,1,1.0,0.6,0.53,0.88
rosame,depot,200,0.1,0.4,1,0.77,0.8,0.67,0.68
sam_with,depot,200,0.1,0.4,2,0.6,0.72,0.23,0.88
sam_without,depot,200,0.1,0.4,2,1.0,0.52,0.47,0.95
rosame,depot,200,0.1,0.4,2,0.9,0.97,0.8,0.78
sam_with,depot,200,0.1,0.4,3,1.0,0.62,0.3,0.88
sam_without,depot,200,0.1,0.4,3,1.0,0.59,0.5,0.88
rosame,depot,200,0.1,0.4,3,0.8,0.77,0.67,0.68
sam_with,depot,200,0.1,0.4,4,0.8,0.47,0.17,0.88
sam_without,depot,200,0.1,0.4,4,1.0,0.47,0.4,0.88
rosame,depot,200,0.1,0.4,4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.1,0.6,0,0.8,0.52,0.2,0.88
sam_without,depot,200,0.1,0.6,0,1.0,0.42,0.33,0.88
rosame,depot,200,0.1,0.6,0,0.9,0.87,0.8,0.78
sam_with,depot,200,0.1,0.6,1,0.8,0.52,0.2,0.88
sam_without,depot,200,0.1,0.6,1,1.0,0.4,0.33,0.88
rosame,depot,200,0.1,0.6,1,0.8,0.77,0.67,0.62
sam_with,depot,200,0.1,0.6,2,0.4,0.62,0.13,0.88
sam_without,depot,200,0.1,0.6,2,1.0,0.32,0.27,0.95
rosame,depot,200,0.1,0.6,2,1.0,0.9,0.73,0.83
sam_with,depot,200,0.1,0.6,3,0.8,0.49,0.17,0.88
sam_without,depot,200,0.1,0.6,3,1.0,0.39,0.3,0.88
rosame,depot,200,0.1,0.6,3,0.85,0.85,0.8,0.83
sam_with,depot,200,0.1,0.6,4,0.8,0.45,0.13,0.88
sam_without,depot,200,0.1,0.6,4,1.0,0.35,0.23,0.88
rosame,depot,200,0.1,0.6,4,0.82,0.83,0.8,0.88
sam_with,depot,200,0.1,0.8,0,0.8,0.49,0.17,0.88
sam_without,depot,200,0.1,0.8,0,1.0,0.39,0.27,0.88
rosame,depot,200,0.1,0.8,0,0.79,0.5,0.67,0.46
sam_with,depot,200,0.1,0.8,1,0.8,0.49,0.17,0.88
sam_without,depot,200,0.1,0.8,1,1.0,0.37,0.23,0.88
rosame,depot,200,0.1,0.8,1,0.62,0.53,0.5,0.33
sam_with,depot,200,0.1,0.8,2,0.4,0.57,0.07,0.88
sam_without,depot,200,0.1,0.8,2,1.0,0.27,0.13,0.95
rosame,depot,200,0.1,0.8,2,0.62,0.46,0.5,0.43
sam_with,depot,200,0.1,0.8,3,0.8,0.45,0.13,0.88
sam_without,depot,200,0.1,0.8,3,1.0,0.35,0.2,0.88
rosame,depot,200,0.1,0.8,3,0.62,0.29,0.5,0.26
sam_with,depot,200,0.1,0.8,4,0.6,0.43,0.1,0.88
sam_without,depot,200,0.1,0.8,4,1.0,0.33,0.17,0.88
rosame,depot,200,0.1,0.8,4,0.59,0.53,0.57,0.5
sam_with,depot,200,0.1,1.0,0,0.45,0.2,0.1,0.24
sam_without,depot,200,0.1,1.0,0,0.55,0.27,0.23,0.55
rosame,depot,200,0.1,1.0,0,0.22,0.0,0.17,0.0
sam_with,depot,200,0.1,1.0,1,0.4,0.25,0.07,0.29
sam_without,depot,200,0.1,1.0,1,0.53,0.22,0.2,0.45
rosame,depot,200,0.1,1.0,1,0.37,0.2,0.4,0.32
sam_with,depot,200,0.1,1.0,2,0.0,0.44,0.0,0.46
sam_without,depot,200,0.1,1.0,2,0.52,0.19,0.1,0.62
rosame,depot,200,0.1,1.0,2,0.42,0.12,0.27,0.1
sam_with,depot,200,0.1,1.0,3,0.45,0.32,0.1,0.42
sam_without,depot,200,0.1,1.0,3,0.51,0.25,0.17,0.51
rosame,depot,200,0.1,1.0,3,0.42,0.18,0.33,0.15
sam_with,depot,200,0.1,1.0,4,0.45,0.24,0.1,0.46
sam_without,depot,200,0.1,1.0,4,0.47,0.24,0.13,0.5
rosame,depot,200,0.1,1.0,4,0.22,0.17,0.17,0.32
sam_with,depot,200,0.2,0.2,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.2,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.2,0,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.2,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.2,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.2,1,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.2,2,1.0,0.97,0.8,0.88
sam_without,depot,200,0.2,0.2,2,1.0,0.97,0.8,0.88
rosame,depot,200,0.2,0.2,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.2,0.2,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.2,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.2,3,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.2,4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.2,4,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.2,4,0.8,0.87,0.67,0.88
sam_with,depot,200,0.2,0.4,0,1.0,0.77,0.47,0.88
sam_without,depot,200,0.2,0.4,0,1.0,0.7,0.67,0.88
rosame,depot,200,0.2,0.4,0,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.4,1,1.0,0.77,0.47,0.88
sam_without,depot,200,0.2,0.4,1,1.0,0.7,0.67,0.88
rosame,depot,200,0.2,0.4,1,0.8,0.87,0.67,0.88
sam_with,depot,200,0.2,0.4,2,0.8,0.8,0.43,0.88
sam_without,depot,200,0.2,0.4,2,1.0,0.67,0.67,0.88
rosame,depot,200,0.2,0.4,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.2,0.4,3,1.0,0.72,0.43,0.88
sam_without,depot,200,0.2,0.4,3,1.0,0.72,0.63,0.88
rosame,depot,200,0.2,0.4,3,0.8,0.87,0.67,0.88
sam_with,depot,200,0.2,0.4,4,1.0,0.65,0.4,0.88
sam_without,depot,200,0.2,0.4,4,1.0,0.62,0.63,0.88
rosame,depot,200,0.2,0.4,4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.6,0,1.0,0.7,0.4,0.88
sam_without,depot,200,0.2,0.6,0,1.0,0.7,0.67,0.88
rosame,depot,200,0.2,0.6,0,0.85,0.87,0.8,0.88
sam_with,depot,200,0.2,0.6,1,1.0,0.67,0.33,0.88
sam_without,depot,200,0.2,0.6,1,1.0,0.65,0.6,0.88
rosame,depot,200,0.2,0.6,1,0.9,0.97,0.73,0.72
sam_with,depot,200,0.2,0.6,2,0.8,0.78,0.33,0.88
sam_without,depot,200,0.2,0.6,2,1.0,0.65,0.6,0.88
rosame,depot,200,0.2,0.6,2,1.0,0.9,0.73,0.83
sam_with,depot,200,0.2,0.6,3,1.0,0.72,0.4,0.88
sam_without,depot,200,0.2,0.6,3,1.0,0.72,0.63,0.88
rosame,depot,200,0.2,0.6,3,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.6,4,1.0,0.6,0.3,0.88
sam_without,depot,200,0.2,0.6,4,1.0,0.6,0.57,0.88
rosame,depot,200,0.2,0.6,4,0.83,0.8,0.73,0.88
sam_with,depot,200,0.2,0.8,0,1.0,0.62,0.3,0.88
sam_without,depot,200,0.2,0.8,0,1.0,0.62,0.53,0.88
rosame,depot,200,0.2,0.8,0,0.71,0.5,0.67,0.46
sam_with,depot,200,0.2,0.8,1,1.0,0.62,0.3,0.88
sam_without,depot,200,0.2,0.8,1,1.0,0.6,0.53,0.88
rosame,depot,200,0.2,0.8,1,0.67,0.63,0.63,0.53
sam_with,depot,200,0.2,0.8,2,0.6,0.72,0.23,0.88
sam_without,depot,200,0.2,0.8,2,1.0,0.52,0.47,0.95
rosame,depot,200,0.2,0.8,2,0.62,0.43,0.5,0.38
sam_with,depot,200,0.2,0.8,3,1.0,0.62,0.3,0.88
sam_without,depot,200,0.2,0.8,3,1.0,0.59,0.5,0.88
rosame,depot,200,0.2,0.8,3,0.67,0.43,0.63,0.46
sam_with,depot,200,0.2,0.8,4,0.8,0.47,0.17,0.88
sam_without,depot,200,0.2,0.8,4,1.0,0.47,0.4,0.88
rosame,depot,200,0.2,0.8,4,0.54,0.45,0.43,0.3
sam_with,depot,200,0.2,1.0,0,0.45,0.0,0.1,0.2
sam_without,depot,200,0.2,1.0,0,0.44,0.24,0.33,0.44
rosame,depot,200,0.2,1.0,0,0.27,0.1,0.3,0.2
sam_with,depot,200,0.2,1.0,1,0.65,0.0,0.13,0.2
sam_without,depot,200,0.2,1.0,1,0.48,0.19,0.33,0.37
rosame,depot,200,0.2,1.0,1,0.37,0.2,0.4,0.32
sam_with,depot,200,0.2,1.0,2,0.25,0.19,0.07,0.28
sam_without,depot,200,0.2,1.0,2,0.38,0.31,0.27,0.52
rosame,depot,200,0.2,1.0,2,0.42,0.05,0.27,0.05
sam_with,depot,200,0.2,1.0,3,0.65,0.07,0.13,0.27
sam_without,depot,200,0.2,1.0,3,0.57,0.29,0.3,0.5
rosame,depot,200,0.2,1.0,3,0.42,0.15,0.33,0.25
sam_with,depot,200,0.2,1.0,4,0.24,0.13,0.03,0.37
sam_without,depot,200,0.2,1.0,4,0.45,0.24,0.23,0.45
rosame,depot,200,0.2,1.0,4,0.22,0.17,0.17,0.32
sam_with,depot,200,0.3,0.2,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.2,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.2,0,0.8,0.87,0.67,0.73
sam_with,depot,200,0.3,0.2,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.2,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.2,1,0.8,0.85,0.67,0.83
sam_with,depot,200,0.3,0.2,2,1.0,0.97,0.8,0.88
sam_without,depot,200,0.3,0.2,2,1.0,0.97,0.8,0.88
rosame,depot,200,0.3,0.2,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.3,0.2,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.2,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.2,3,0.8,0.87,0.67,0.88
sam_with,depot,200,0.3,0.2,4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.2,4,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.2,4,0.84,0.87,0.73,0.88
sam_with,depot,200,0.3,0.4,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.4,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.4,0,0.85,0.87,0.8,0.88
sam_with,depot,200,0.3,0.4,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.4,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.4,1,0.8,0.9,0.67,0.88
sam_with,depot,200,0.3,0.4,2,1.0,0.8,0.73,0.88
sam_without,depot,200,0.3,0.4,2,1.0,0.8,0.73,0.88
rosame,depot,200,0.3,0.4,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.3,0.4,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.4,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.4,3,0.8,0.77,0.67,0.68
sam_with,depot,200,0.3,0.4,4,1.0,0.7,0.67,0.88
sam_without,depot,200,0.3,0.4,4,1.0,0.7,0.67,0.88
rosame,depot,200,0.3,0.4,4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.3,0.6,0,1.0,0.77,0.47,0.88
sam_without,depot,200,0.3,0.6,0,1.0,0.7,0.67,0.88
rosame,depot,200,0.3,0.6,0,0.79,0.91,0.8,0.84
sam_with,depot,200,0.3,0.6,1,1.0,0.77,0.47,0.88
sam_without,depot,200,0.3,0.6,1,1.0,0.7,0.67,0.88
rosame,depot,200,0.3,0.6,1,0.8,0.77,0.67,0.62
sam_with,depot,200,0.3,0.6,2,0.8,0.8,0.43,0.88
sam_without,depot,200,0.3,0.6,2,1.0,0.67,0.67,0.88
rosame,depot,200,0.3,0.6,2,0.8,0.9,0.73,0.83
sam_with,depot,200,0.3,0.6,3,1.0,0.72,0.43,0.88
sam_without,depot,200,0.3,0.6,3,1.0,0.72,0.63,0.88
rosame,depot,200,0.3,0.6,3,0.8,0.87,0.67,0.88
sam_with,depot,200,0.3,0.6,4,1.0,0.65,0.4,0.88
sam_without,depot,200,0.3,0.6,4,1.0,0.62,0.63,0.88
rosame,depot,200,0.3,0.6,4,0.74,0.7,0.67,0.68
sam_with,depot,200,0.3,0.8,0,0.8,0.2,0.33,0.24
sam_without,depot,200,0.3,0.8,0,0.72,0.41,0.67,0.68
rosame,depot,200,0.3,0.8,0,0.66,0.4,0.53,0.26
sam_with,depot,200,0.3,0.8,1,0.9,0.4,0.3,0.29
sam_without,depot,200,0.3,0.8,1,0.72,0.39,0.6,0.73
rosame,depot,200,0.3,0.8,1,0.67,0.63,0.63,0.53
sam_with,depot,200,0.3,0.8,2,0.6,0.61,0.3,0.42
sam_without,depot,200,0.3,0.8,2,0.72,0.42,0.6,0.79
rosame,depot,200,0.3,0.8,2,0.62,0.43,0.5,0.38
sam_with,depot,200,0.3,0.8,3,0.8,0.53,0.4,0.47
sam_without,depot,200,0.3,0.8,3,0.71,0.54,0.63,0.79
rosame,depot,200,0.3,0.8,3,0.62,0.29,0.5,0.26
sam_with,depot,200,0.3,0.8,4,0.8,0.3,0.27,0.46
sam_without,depot,200,0.3,0.8,4,0.76,0.48,0.57,0.78
rosame,depot,200,0.3,0.8,4,0.54,0.55,0.43,0.5
sam_with,depot,200,0.3,1.0,0,0.35,0.0,0.1,0.2
sam_without,depot,200,0.3,1.0,0,0.54,0.29,0.53,0.57
rosame,depot,200,0.3,1.0,0,0.22,0.0,0.17,0.0
sam_with,depot,200,0.3,1.0,1,0.65,0.0,0.23,0.2
sam_without,depot,200,0.3,1.0,1,0.58,0.29,0.53,0.57
rosame,depot,200,0.3,1.0,1,0.32,0.1,0.27,0.12
sam_with,depot,200,0.3,1.0,2,0.25,0.19,0.17,0.28
sam_without,depot,200,0.3,1.0,2,0.48,0.41,0.47,0.72
rosame,depot,200,0.3,1.0,2,0.32,0.05,0.27,0.05
sam_with,depot,200,0.3,1.0,3,0.68,0.17,0.27,0.32
sam_without,depot,200,0.3,1.0,3,0.56,0.39,0.5,0.64
rosame,depot,200,0.3,1.0,3,0.42,0.05,0.33,0.05
sam_with,depot,200,0.3,1.0,4,0.34,0.12,0.07,0.32
sam_without,depot,200,0.3,1.0,4,0.53,0.36,0.5,0.69
rosame,depot,200,0.3,1.0,4,0.27,0.17,0.3,0.32
sam_with,depot,200,0.4,0.2,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.2,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.2,0,0.8,0.87,0.67,0.88
sam_with,depot,200,0.4,0.2,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.2,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.2,1,0.77,0.77,0.67,0.58
sam_with,depot,200,0.4,0.2,2,1.0,0.97,0.8,0.88
sam_without,depot,200,0.4,0.2,2,1.0,0.97,0.8,0.88
rosame,depot,200,0.4,0.2,2,0.9,0.8,0.8,0.75
sam_with,depot,200,0.4,0.2,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.2,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.2,3,0.85,0.87,0.8,0.88
sam_with,depot,200,0.4,0.2,4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.2,4,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.2,4,0.85,0.87,0.8,0.88
sam_with,depot,200,0.4,0.4,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.4,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.4,0,0.85,0.87,0.8,0.88
sam_with,depot,200,0.4,0.4,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.4,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.4,1,0.8,0.87,0.67,0.88
sam_with,depot,200,0.4,0.4,2,1.0,0.97,0.8,0.88
sam_without,depot,200,0.4,0.4,2,1.0,0.97,0.8,0.88
rosame,depot,200,0.4,0.4,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.4,0.4,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.4,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.4,3,0.8,0.77,0.67,0.68
sam_with,depot,200,0.4,0.4,4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.4,4,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.4,4,0.79,0.9,0.8,0.84
sam_with,depot,200,0.4,0.6,0,1.0,0.77,0.53,0.88
sam_without,depot,200,0.4,0.6,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.6,0,0.8,0.87,0.67,0.88
sam_with,depot,200,0.4,0.6,1,1.0,0.77,0.5,0.88
sam_without,depot,200,0.4,0.6,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.6,1,0.8,0.87,0.67,0.82
sam_with,depot,200,0.4,0.6,2,1.0,0.8,0.63,0.88
sam_without,depot,200,0.4,0.6,2,1.0,0.8,0.73,0.88
rosame,depot,200,0.4,0.6,2,0.93,0.97,0.73,0.83
sam_with,depot,200,0.4,0.6,3,1.0,0.77,0.53,0.88
sam_without,depot,200,0.4,0.6,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.6,3,0.8,0.87,0.67,0.88
sam_with,depot,200,0.4,0.6,4,1.0,0.7,0.47,0.88
sam_without,depot,200,0.4,0.6,4,1.0,0.67,0.67,0.88
rosame,depot,200,0.4,0.6,4,0.85,0.8,0.8,0.88
sam_with,depot,200,0.4,0.8,0,0.73,0.4,0.37,0.29
sam_without,depot,200,0.4,0.8,0,0.6,0.3,0.67,0.61
rosame,depot,200,0.4,0.8,0,0.66,0.5,0.53,0.46
sam_with,depot,200,0.4,0.8,1,0.88,0.3,0.4,0.29
sam_without,depot,200,0.4,0.8,1,0.63,0.3,0.67,0.61
rosame,depot,200,0.4,0.8,1,0.62,0.53,0.5,0.33
sam_with,depot,200,0.4,0.8,2,0.63,0.42,0.37,0.32
sam_without,depot,200,0.4,0.8,2,0.5,0.52,0.67,0.69
rosame,depot,200,0.4,0.8,2,0.62,0.46,0.5,0.43
sam_with,depot,200,0.4,0.8,3,0.78,0.47,0.4,0.36
sam_without,depot,200,0.4,0.8,3,0.62,0.4,0.63,0.68
rosame,depot,200,0.4,0.8,3,0.62,0.33,0.5,0.26
sam_with,depot,200,0.4,0.8,4,0.82,0.23,0.3,0.37
sam_without,depot,200,0.4,0.8,4,0.67,0.49,0.63,0.73
rosame,depot,200,0.4,0.8,4,0.54,0.55,0.43,0.5
sam_with,depot,200,0.4,1.0,0,0.45,0.0,0.13,0.2
sam_without,depot,200,0.4,1.0,0,0.6,0.3,0.67,0.61
rosame,depot,200,0.4,1.0,0,0.22,0.0,0.17,0.0
sam_with,depot,200,0.4,1.0,1,0.32,0.0,0.07,0.2
sam_without,depot,200,0.4,1.0,1,0.57,0.3,0.6,0.61
rosame,depot,200,0.4,1.0,1,0.32,0.2,0.27,0.32
sam_with,depot,200,0.4,1.0,2,0.45,0.17,0.27,0.22
sam_without,depot,200,0.4,1.0,2,0.5,0.47,0.6,0.63
rosame,depot,200,0.4,1.0,2,0.42,0.05,0.27,0.05
sam_with,depot,200,0.4,1.0,3,0.55,0.07,0.23,0.25
sam_without,depot,200,0.4,1.0,3,0.62,0.3,0.63,0.61
rosame,depot,200,0.4,1.0,3,0.47,0.15,0.47,0.25
sam_with,depot,200,0.4,1.0,4,0.34,0.05,0.07,0.27
sam_without,depot,200,0.4,1.0,4,0.56,0.34,0.57,0.68
rosame,depot,200,0.4,1.0,4,0.22,0.07,0.17,0.12
sam_with,depot,200,0.5,0.2,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.2,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.2,0,0.82,0.92,0.73,0.83
sam_with,depot,200,0.5,0.2,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.2,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.2,1,0.74,0.8,0.67,0.64
sam_with,depot,200,0.5,0.2,2,1.0,0.97,0.8,0.88
sam_without,depot,200,0.5,0.2,2,1.0,0.97,0.8,0.88
rosame,depot,200,0.5,0.2,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.5,0.2,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.2,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.2,3,0.82,0.85,0.73,0.78
sam_with,depot,200,0.5,0.2,4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.2,4,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.2,4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.5,0.4,0,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.4,0,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.4,0,0.8,0.77,0.67,0.68
sam_with,depot,200,0.5,0.4,1,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.4,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.4,1,0.8,0.87,0.67,0.88
sam_with,depot,200,0.5,0.4,2,1.0,0.97,0.8,0.88
sam_without,depot,200,0.5,0.4,2,1.0,0.97,0.8,0.88
rosame,depot,200,0.5,0.4,2,1.0,0.97,0.8,0.88
sam_with,depot,200,0.5,0.4,3,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.4,3,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.4,3,0.85,0.9,0.73,0.78
sam_with,depot,200,0.5,0.4,4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.5,0.4,4,1.0,0.77,0.67,0.88
rosame,depot,200,0.5,0.4,4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.5,0.6,0,1.0,0.6,0.67,0.61
sam_without,depot,200,0.5,0.6,0,0.6,0.3,0.67,0.61
rosame,depot,200,0.5,0.6,0,0.8,0.77,0.67,0.68
sam_with,depot,200,0.5,0.6,1,1.0,0.6,0.67,0.61
sam_without,depot,200,0.5,0.6,1,0.63,0.3,0.67,0.61
rosame,depot,200,0.5,0.6,1,0.77,0.77,0.67,0.57
sam_with,depot,200,0.5,0.6,2,0.9,1.0,0.73,0.69
sam_without,depot,200,0.5,0.6,2,0.6,0.7,0.73,0.69
rosame,depot,200,0.5,0.6,2,0.9,0.97,0.73,0.83
sam_with,depot,200,0.5,0.6,3,1.0,0.8,0.67,0.68
sam_without,depot,200,0.5,0.6,3,0.71,0.51,0.67,0.68
rosame,depot,200,0.5,0.6,3,1.0,0.87,0.8,0.88
sam_with,depot,200,0.5,0.6,4,1.0,0.7,0.57,0.73
sam_without,depot,200,0.5,0.6,4,0.69,0.51,0.67,0.73
rosame,depot,200,0.5,0.6,4,0.8,0.82,0.67,0.83
sam_with,depot,200,0.5,0.8,0,0.72,0.3,0.43,0.37
sam_without,depot,200,0.5,0.8,0,0.6,0.3,0.67,0.61
rosame,depot,200,0.5,0.8,0,0.76,0.5,0.6,0.46
sam_with,depot,200,0.5,0.8,1,0.74,0.27,0.43,0.33
sam_without,depot,200,0.5,0.8,1,0.6,0.3,0.67,0.61
rosame,depot,200,0.5,0.8,1,0.62,0.63,0.5,0.53
sam_with,depot,200,0.5,0.8,2,0.68,0.45,0.53,0.39
sam_without,depot,200,0.5,0.8,2,0.6,0.49,0.73,0.63
rosame,depot,200,0.5,0.8,2,0.62,0.46,0.5,0.43
sam_with,depot,200,0.5,0.8,3,0.78,0.27,0.47,0.37
sam_without,depot,200,0.5,0.8,3,0.63,0.3,0.67,0.61
rosame,depot,200,0.5,0.8,3,0.58,0.4,0.63,0.41
sam_with,depot,200,0.5,0.8,4,0.43,0.4,0.13,0.36
sam_without,depot,200,0.5,0.8,4,0.6,0.35,0.67,0.68
rosame,depot,200,0.5,0.8,4,0.66,0.45,0.53,0.42
sam_with,depot,200,0.5,1.0,0,0.6,0.27,0.33,0.29
sam_without,depot,200,0.5,1.0,0,0.6,0.3,0.67,0.61
rosame,depot,200,0.5,1.0,0,0.22,0.0,0.17,0.0
sam_with,depot,200,0.5,1.0,1,0.66,0.25,0.37,0.29
sam_without,depot,200,0.5,1.0,1,0.6,0.3,0.67,0.61
rosame,depot,200,0.5,1.0,1,0.32,0.1,0.27,0.12
sam_with,depot,200,0.5,1.0,2,0.46,0.27,0.3,0.09
sam_without,depot,200,0.5,1.0,2,0.43,0.37,0.67,0.46
rosame,depot,200,0.5,1.0,2,0.32,0.11,0.27,0.1
sam_with,depot,200,0.5,1.0,3,0.62,0.27,0.3,0.29
sam_without,depot,200,0.5,1.0,3,0.62,0.3,0.63,0.61
rosame,depot,200,0.5,1.0,3,0.42,0.16,0.33,0.25
sam_with,depot,200,0.5,1.0,4,0.35,0.2,0.07,0.32
sam_without,depot,200,0.5,1.0,4,0.59,0.35,0.63,0.68
rosame,depot,200,0.5,1.0,4,0.22,0.07,0.17,0.12
sam_with,depot,400,0.1,0.2,0,1.0,0.77,0.43,0.88
sam_without,depot,400,0.1,0.2,0,1.0,0.77,0.67,0.88
rosame,depot,400,0.1,0.2,0,0.8,0.77,0.67,0.68
sam_with,depot,400,0.1,0.2,1,0.8,0.93,0.43,0.88
sam_without,depot,400,0.1,0.2,1,1.0,0.93,0.8,0.88
rosame,depot,400,0.1,0.2,1,1.0,0.97,0.8,0.88
sam_with,depot,400,0.1,0.2,2,1.0,0.93,0.6,0.88
sam_without,depot,400,0.1,0.2,2,1.0,0.93,0.8,0.88
rosame,depot,400,0.1,0.2,2,1.0,0.97,0.8,0.88
sam_with,depot,400,0.1,0.2,3,1.0,0.93,0.57,0.88
sam_without,depot,400,0.1,0.2,3,1.0,0.93,0.8,0.88
rosame,depot,400,0.1,0.2,3,1.0,0.97,0.8,0.88
sam_with,depot,400,0.1,0.2,4,1.0,0.52,0.27,0.95
sam_without,depot,400,0.1,0.2,4,1.0,0.52,0.5,0.95
rosame,depot,400,0.1,0.2,4,0.57,0.57,0.53,0.5
sam_with,depot,400,0.1,0.4,0,1.0,0.65,0.3,0.88
sam_without,depot,400,0.1,0.4,0,1.0,0.6,0.53,0.88
rosame,depot,400,0.1,0.4,0,0.7,0.57,0.67,0.55
sam_with,depot,400,0.1,0.4,1,0.8,0.81,0.3,0.88
sam_without,depot,400,0.1,0.4,1,1.0,0.6,0.53,0.88
rosame,depot,400,0.1,0.4,1,0.93,0.97,0.8,0.83
sam_with,depot,400,0.1,0.4,2,0.8,0.81,0.3,0.88
sam_without,depot,400,0.1,0.4,2,1.0,0.6,0.53,0.88
rosame,depot,400,0.1,0.4,2,1.0,0.97,0.8,0.88
sam_with,depot,400,0.1,0.4,3,0.8,0.78,0.3,0.88
sam_without,depot,400,0.1,0.4,3,1.0,0.6,0.53,0.88
rosame,depot,400,0.1,0.4,3,1.0,0.97,0.8,0.88
