Average of precision_precondition,Column Labels,,,
Row Labels,rosame,sam_with,sam_without,Grand Total
driverlog,,,,
0.6,0.416,0.336,0.296,0.349333333
0.8,0.304,0.272,0.216,0.264
1,0.212,0.238,0.216,0.222
0.4,,,,
0.2,0.422,0.576,0.494,0.497333333
0.4,0.446,0.576,0.494,0.505333333
0.6,0.412,0.508,0.476,0.465333333
0.8,0.312,0.242,0.212,0.255333333
1,0.204,0.188,0.17,0.187333333
0.5,,,,
0.2,0.444,0.576,0.494,0.504666667
0.4,0.436,0.576,0.494,0.502
0.6,0.418,0.456,0.344,0.406
0.8,0.286,0.356,0.298,0.313333333
1,0.196,0.162,0.196,0.184666667
Grand Total,0.541666667,0.542786667,0.49344,0.525964444
