noise_results
algorithm,domain,data,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,50,N/A,0.20,1.00,1.00,1.00,1.00
rosame,blocks,50,N/A,0.40,1.00,1.00,1.00,1.00
rosame,blocks,50,N/A,0.60,1.00,0.82,1.00,1.00
rosame,blocks,50,N/A,0.80,0.83,0.86,0.83,0.67
rosame,blocks,50,N/A,1.00,0.50,0.40,0.50,0.22
sam,blocks,50,0.1,0.20,1.00,0.82,0.78,1.00
sam,blocks,50,0.1,0.40,1.00,0.45,0.44,1.00
sam,blocks,50,0.1,0.60,1.00,0.38,0.11,1.00
sam,blocks,50,0.1,0.80,1.00,0.38,0.11,1.00
sam,blocks,50,0.1,1.00,0.50,0.38,0.11,0.89
sam,blocks,50,0.2,0.20,1.00,1.00,1.00,1.00
sam,blocks,50,0.2,0.40,1.00,0.82,0.78,1.00
sam,blocks,50,0.2,0.60,1.00,0.50,0.56,1.00
sam,blocks,50,0.2,0.80,1.00,0.45,0.44,1.00
sam,blocks,50,0.2,1.00,0.60,0.40,0.17,0.89
sam,blocks,50,0.3,0.20,1.00,1.00,1.00,1.00
sam,blocks,50,0.3,0.40,1.00,1.00,1.00,1.00
sam,blocks,50,0.3,0.60,1.00,0.82,0.78,1.00
sam,blocks,50,0.3,0.80,0.86,0.64,0.67,1.00
sam,blocks,50,0.3,1.00,0.45,0.39,0.56,0.78
sam,blocks,50,0.9,0.20,0.35,0.35,1.00,1.00
sam,blocks,50,0.9,0.40,0.35,0.35,1.00,1.00
sam,blocks,50,0.9,0.60,0.35,0.35,1.00,1.00
sam,blocks,50,0.9,0.80,0.35,0.35,1.00,1.00
sam,blocks,50,0.9,1.00,0.35,0.35,1.00,1.00
rosame,gripper,50,N/A,0.20,1.00,1.00,1.00,1.00
rosame,gripper,50,N/A,0.40,1.00,1.00,1.00,1.00
rosame,gripper,50,N/A,0.60,1.00,1.00,1.00,1.00
rosame,gripper,50,N/A,0.80,0.88,1.00,0.88,0.83
rosame,gripper,50,N/A,1.00,0.62,1.00,0.62,0.17
sam,gripper,50,0.1,0.20,1.00,1.00,1.00,1.00
sam,gripper,50,0.1,0.40,1.00,0.75,0.50,1.00
sam,gripper,50,0.1,0.60,0.00,0.60,0.00,1.00
sam,gripper,50,0.1,0.80,0.00,0.60,0.00,1.00
sam,gripper,50,0.1,1.00,0.00,0.56,0.00,0.83
sam,gripper,50,0.2,0.20,1.00,1.00,1.00,1.00
sam,gripper,50,0.2,0.40,1.00,1.00,1.00,1.00
sam,gripper,50,0.2,0.60,1.00,0.86,0.75,1.00
sam,gripper,50,0.2,0.80,1.00,0.75,0.50,1.00
sam,gripper,50,0.2,1.00,0.40,0.62,0.25,0.83
sam,gripper,50,0.3,0.20,1.00,1.00,1.00,1.00
sam,gripper,50,0.3,0.40,1.00,1.00,1.00,1.00
sam,gripper,50,0.3,0.60,1.00,1.00,1.00,1.00
sam,gripper,50,0.3,0.80,0.75,0.75,0.75,1.00
sam,gripper,50,0.3,1.00,0.50,0.62,0.75,0.83
sam,gripper,50,0.9,0.20,0.40,0.60,1.00,1.00
sam,gripper,50,0.9,0.40,0.40,0.60,1.00,1.00
sam,gripper,50,0.9,0.60,0.40,0.60,1.00,1.00
sam,gripper,50,0.9,0.80,0.40,0.60,1.00,1.00
sam,gripper,50,0.9,1.00,0.40,0.60,1.00,1.00
rosame,blocks,100,N/A,0.20,1.00,1.00,1.00,1.00
rosame,blocks,100,N/A,0.40,1.00,1.00,1.00,1.00
rosame,blocks,100,N/A,0.60,1.00,1.00,1.00,1.00
rosame,blocks,100,N/A,0.80,0.89,1.00,0.89,0.78
rosame,blocks,100,N/A,1.00,0.50,0.00,0.50,0.00
sam,blocks,100,0.1,0.20,1.00,0.82,0.78,1.00
sam,blocks,100,0.1,0.40,1.00,0.53,0.61,1.00
sam,blocks,100,0.1,0.60,1.00,0.47,0.28,1.00
sam,blocks,100,0.1,0.80,1.00,0.47,0.28,1.00
sam,blocks,100,0.1,1.00,0.71,0.50,0.28,0.89
sam,blocks,100,0.2,0.20,1.00,1.00,1.00,1.00
sam,blocks,100,0.2,0.40,1.00,0.82,0.78,1.00
sam,blocks,100,0.2,0.60,1.00,0.56,0.67,1.00
sam,blocks,100,0.2,0.80,1.00,0.53,0.61,1.00
sam,blocks,100,0.2,1.00,0.75,0.50,0.33,0.89
sam,blocks,100,0.3,0.20,1.00,1.00,1.00,1.00
sam,blocks,100,0.3,0.40,1.00,1.00,1.00,1.00
