Sum of recall_effect,Column Labels,,,
Row Labels,rosame,sam_with,sam_without,Grand Total
depot,,,,
0.4,0.58,0.33,0.33,1.24
0.6,0.61,0.33,0.33,1.27
0.8,0.5,0.33,0.33,1.16
1,0.58,0,0,0.58
0.2,,,,
0.2,0.39,0.33,0.33,1.05
0.4,0.5,0.33,0.33,1.16
0.6,0.53,0.33,0.33,1.19
0.8,0.47,0.33,0.33,1.13
1,0.56,0,0,0.56
0.3,,,,
0.2,0.44,0.33,0.33,1.1
0.4,0.39,0.33,0.33,1.05
0.6,0.47,0.33,0.33,1.13
0.8,0.53,0.33,0.33,1.19
1,0.61,0,0,0.61
0.4,,,,
0.2,0.64,0.33,0.33,1.3
0.4,0.47,0.33,0.33,1.13
0.6,0.39,0.33,0.33,1.05
0.8,0.58,0.33,0.33,1.24
1,0.44,0,0,0.44
0.5,,,,
0.2,0.61,0.33,0.33,1.27
0.4,0.42,0.33,0.33,1.08
0.6,0.56,0.33,0.33,1.22
0.8,0.39,0.33,0.33,1.05
1,0.44,0,0,0.44
100,,,,
0.1,,,,
0.2,1,0.83,0.83,2.66
0.4,0.94,0.83,0.83,2.6
0.6,0.94,0.83,0.83,2.6
0.8,0.94,0.83,0.83,2.6
1,0.83,0,0,0.83
0.2,,,,
0.2,0.94,0.83,0.83,2.6
0.4,0.89,0.83,0.83,2.55
0.6,0.83,0.83,0.83,2.49
0.8,0.83,0.83,0.83,2.49
1,0.83,0,0,0.83
0.3,,,,
0.2,0.83,0.78,0.83,2.44
0.4,0.89,0.83,0.83,2.55
0.6,0.83,0.83,0.83,2.49
0.8,0.94,0.83,0.83,2.6
1,0.89,0,0,0.89
0.4,,,,
0.2,0.83,0.69,0.75,2.27
0.4,0.83,0.83,0.83,2.49
0.6,0.89,0.83,0.83,2.55
0.8,0.83,0.75,0.83,2.41
1,0.83,0,0,0.83
0.5,,,,
0.2,0.94,0.75,0.75,2.44
0.4,0.83,0.83,0.83,2.49
0.6,0.89,0.83,0.83,2.55
0.8,0.89,0.75,0.83,2.47
1,0.89,0,0,0.89
200,,,,
0.1,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.2,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.3,,,,
0.2,1,0.86,1,2.86
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,0.92,0,0,0.92
0.4,,,,
0.2,1,0.75,0.81,2.56
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,0.86,1,2.86
1,1,0,0,1
0.5,,,,
0.2,1,0.69,0.75,2.44
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,0.75,0.83,2.58
1,1,0,0,1
300,,,,
0.1,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.2,,,,
0.2,1,1,1,3
0.4,1,1,1,3
