Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
without_remove_effects,blocksworld-4ops,max,0.3,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.3,0.4,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,max,0.3,0.4,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.3,0.6,1.0,0.82,0.78,1.0
without_remove_effects,blocksworld-4ops,max,0.3,0.6,1.0,0.82,0.78,1.0
with_remove_effects,blocksworld-4ops,max,0.3,0.8,0.88,0.8,0.39,0.89
without_remove_effects,blocksworld-4ops,max,0.3,0.8,0.88,0.75,0.78,1.0
with_remove_effects,blocksworld-4ops,max,0.3,1.0,0.57,0.29,0.22,0.22
without_remove_effects,blocksworld-4ops,max,0.3,1.0,0.46,0.42,0.67,0.89
with_remove_effects,blocksworld-4ops,max,0.4,0.2,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,max,0.4,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.4,0.4,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,max,0.4,0.4,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.4,0.6,1.0,0.82,0.78,1.0
without_remove_effects,blocksworld-4ops,max,0.4,0.6,1.0,0.82,0.78,1.0
with_remove_effects,blocksworld-4ops,max,0.4,0.8,1.0,0.82,0.78,1.0
without_remove_effects,blocksworld-4ops,max,0.4,0.8,0.78,0.69,0.78,1.0
with_remove_effects,blocksworld-4ops,max,0.4,1.0,0.6,0.0,0.33,0.0
without_remove_effects,blocksworld-4ops,max,0.4,1.0,0.44,0.44,0.78,0.78
with_remove_effects,blocksworld-4ops,max,0.5,0.2,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,max,0.5,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.5,0.4,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,max,0.5,0.4,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.5,0.6,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,max,0.5,0.6,0.82,0.82,1.0,1.0
with_remove_effects,blocksworld-4ops,max,0.5,0.8,0.78,0.78,0.78,0.78
without_remove_effects,blocksworld-4ops,max,0.5,0.8,0.44,0.44,0.78,0.78
with_remove_effects,blocksworld-4ops,max,0.5,1.0,0.78,0.78,0.78,0.78
without_remove_effects,blocksworld-4ops,max,0.5,1.0,0.44,0.44,0.78,0.78
