algorithm,domain,data,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,logistics,1,0.4,0.8,0.5,0.33
rosame,logistics,2,0.53,0.86,0.67,0.5
rosame,logistics,3,0.64,0.89,0.75,0.67
rosame,logistics,5,0.79,1.0,0.92,0.75
rosame,logistics,7,1.0,1.0,1.0,1.0
sam,logistics,1,1.0,1.0,0.17,0.17
sam,logistics,2,1.0,1.0,0.33,0.33
sam,logistics,3,1.0,1.0,0.5,0.5
sam,logistics,5,1.0,1.0,0.83,0.75
sam,logistics,7,1.0,1.0,1.0,1.0
