Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,driverlog,8,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,9,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,9,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,9,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,9,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,9,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,9,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,9,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,9,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,9,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,9,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,9,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,9,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,10,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,10,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,10,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,10,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,10,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,10,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,10,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,10,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,10,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,10,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,10,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,10,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,15,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,15,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,15,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,15,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,15,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,15,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,15,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,15,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,15,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,15,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,15,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,15,NA,NA,5,0,1.0,0.9,1.0,1.0
