Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,depot,100,0.1,0,2,0,0.95,1,1,0.96
sam,depot,100,0.1,0,3,0,1,0.97,1,1
rosame,depot,100,0.1,0,3,0,0.97,0.97,1,0.95
sam,depot,100,0.1,0,4,0,1,0.97,1,1
rosame,depot,100,0.1,0,4,0,1,0.97,1,1
sam,depot,200,0.1,0,0,0,1,0.97,1,1
rosame,depot,200,0.1,0,0,0,1,0.97,1,1
sam,depot,200,0.1,0,1,0,1,0.97,1,1
rosame,depot,200,0.1,0,1,0,0.97,0.97,1,1
sam,depot,200,0.1,0,2,0,1,0.97,1,1
rosame,depot,200,0.1,0,2,0,0.92,0.97,1,0.87
sam,depot,200,0.1,0,3,0,1,0.97,1,1
rosame,depot,200,0.1,0,3,0,0.95,0.97,1,0.95
sam,depot,200,0.1,0,4,0,1,0.97,1,1
rosame,depot,200,0.1,0,4,0,1,0.97,1,1
sam,depot,300,0.1,0,0,0,1,0.97,1,1
rosame,depot,300,0.1,0,0,0,1,0.97,1,1
sam,depot,300,0.1,0,1,0,1,0.97,1,1
rosame,depot,300,0.1,0,1,0,1,0.97,1,1
sam,depot,300,0.1,0,2,0,1,0.97,1,1
rosame,depot,300,0.1,0,2,0,1,0.97,1,1
sam,depot,300,0.1,0,3,0,1,0.97,1,1
rosame,depot,300,0.1,0,3,0,1,0.97,1,1
sam,depot,300,0.1,0,4,0,1,0.97,1,1
rosame,depot,300,0.1,0,4,0,1,0.97,1,1
sam,depot,400,0.1,0,0,0,1,0.97,1,1
rosame,depot,400,0.1,0,0,0,0.97,0.97,1,0.95
sam,depot,400,0.1,0,1,0,1,0.97,1,1
rosame,depot,400,0.1,0,1,0,1,0.97,1,1
sam,depot,400,0.1,0,2,0,1,0.97,1,1
rosame,depot,400,0.1,0,2,0,0.95,0.97,1,0.93
sam,depot,400,0.1,0,3,0,1,0.97,1,1
rosame,depot,400,0.1,0,3,0,1,0.97,1,1
sam,depot,400,0.1,0,4,0,1,0.97,1,1
rosame,depot,400,0.1,0,4,0,1,0.97,1,1
