,Column Labels,,,,,
,Average of recall_effect,,Average of Unobserved_actions,,Total Average of recall_effect,Total Average of Unobserved_actions
Row Labels,rosame,sam,rosame,sam,,
rover,,,,,,
10,0.53,0.432,0,4.8,0.481,2.4
50,0.564,0.508,0,3.6,0.536,1.8
100,0.466,0.458,0,4,0.462,2
200,0.442,0.376,0,5,0.409,2.5
300,0.422,0.402,0,4.4,0.412,2.2
400,0.406,0.378,0,5,0.392,2.5
Grand Total,0.471666667,0.425666667,0,4.466666667,0.448666667,2.233333333
