Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,depot,300,0.1,0.8,1,1,1.0,0.52,0.47,1.0
rosame,depot,300,0.1,0.8,1,0,0.97,1.0,0.97,0.87
sam_with,depot,3000,0.1,0.8,2,1,1.0,0.59,0.37,1.0
sam_without,depot,300,0.1,0.8,2,1,1.0,0.59,0.6,1.0
rosame,depot,300,0.1,0.8,2,0,0.92,1.0,0.97,0.84
sam_with,depot,3000,0.1,0.8,3,1,1.0,0.63,0.37,1.0
sam_without,depot,300,0.1,0.8,3,1,1.0,0.63,0.6,1.0
rosame,depot,300,0.1,0.8,3,0,0.97,1.0,0.97,0.86
sam_with,depot,3000,0.1,0.8,4,1,1.0,0.55,0.3,1.0
sam_without,depot,300,0.1,0.8,4,1,1.0,0.55,0.47,1.0
rosame,depot,300,0.1,0.8,4,0,0.83,0.93,0.83,0.69
sam_with,depot,3000,0.1,1.0,0,0,0.25,0.4,0.1,0.32
sam_without,depot,300,0.1,1.0,0,0,0.38,0.39,0.53,0.62
rosame,depot,300,0.1,1.0,0,0,0.3,0.1,0.3,0.07
sam_with,depot,3000,0.1,1.0,1,0,0.7,0.42,0.23,0.44
sam_without,depot,300,0.1,1.0,1,0,0.58,0.41,0.47,0.62
rosame,depot,300,0.1,1.0,1,0,0.42,0.4,0.47,0.27
sam_with,depot,3000,0.1,1.0,2,0,0.57,0.38,0.2,0.21
sam_without,depot,300,0.1,1.0,2,0,0.4,0.39,0.6,0.54
rosame,depot,300,0.1,1.0,2,0,0.47,0.5,0.47,0.28
sam_with,depot,3000,0.1,1.0,3,0,0.3,0.45,0.2,0.26
sam_without,depot,300,0.1,1.0,3,0,0.53,0.48,0.6,0.54
rosame,depot,300,0.1,1.0,3,0,0.53,0.6,0.53,0.2
sam_with,depot,3000,0.1,1.0,4,0,0.1,0.37,0.03,0.22
sam_without,depot,300,0.1,1.0,4,0,0.33,0.37,0.47,0.51
rosame,depot,300,0.1,1.0,4,0,0.33,0.2,0.33,0.04
sam_with,depot,3000,0.2,0.2,0,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.2,0.2,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.2,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.2,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.2,0.2,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.2,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.2,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.2,0.2,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.2,2,0,0.97,0.97,1.0,0.9
sam_with,depot,3000,0.2,0.2,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.2,0.2,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.2,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.2,4,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.2,0.2,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.2,4,0,0.97,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.4,0,0,1.0,0.97,0.8,1.0
sam_without,depot,300,0.2,0.4,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.4,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.4,1,0,1.0,0.97,0.9,1.0
sam_without,depot,300,0.2,0.4,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.4,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.4,2,0,1.0,0.97,0.97,1.0
sam_without,depot,300,0.2,0.4,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.4,2,0,1.0,0.97,1.0,0.9
sam_with,depot,3000,0.2,0.4,3,0,1.0,0.97,0.87,1.0
sam_without,depot,300,0.2,0.4,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.4,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.4,4,0,1.0,0.97,0.87,1.0
sam_without,depot,300,0.2,0.4,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.4,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.6,0,0,1.0,0.97,0.67,1.0
sam_without,depot,300,0.2,0.6,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.6,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.6,1,0,1.0,0.87,0.63,1.0
sam_without,depot,300,0.2,0.6,1,0,1.0,0.87,0.93,1.0
rosame,depot,300,0.2,0.6,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.6,2,0,1.0,0.97,0.7,1.0
sam_without,depot,300,0.2,0.6,2,0,1.0,0.97,0.93,1.0
rosame,depot,300,0.2,0.6,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.6,3,0,1.0,0.97,0.7,1.0
sam_without,depot,300,0.2,0.6,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.6,3,0,0.97,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.6,4,0,1.0,0.97,0.63,1.0
sam_without,depot,300,0.2,0.6,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.2,0.6,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.2,0.8,0,0,1.0,0.88,0.47,1.0
sam_without,depot,300,0.2,0.8,0,0,1.0,0.88,0.8,1.0
rosame,depot,300,0.2,0.8,0,0,0.8,0.9,0.8,0.59
sam_with,depot,3000,0.2,0.8,1,0,1.0,0.77,0.43,1.0
sam_without,depot,300,0.2,0.8,1,0,1.0,0.77,0.73,1.0
rosame,depot,300,0.2,0.8,1,0,0.93,1.0,0.93,0.87
sam_with,depot,3000,0.2,0.8,2,0,1.0,0.85,0.5,1.0
sam_without,depot,300,0.2,0.8,2,0,1.0,0.85,0.8,1.0
rosame,depot,300,0.2,0.8,2,0,0.97,1.0,0.97,0.79
